LOKI_REPLICAS,WRITE_BATCH_SIZE,WRITE_MSG_PER_SEC,WRITE_REPLICAS,POD,NAME,CPU(cores),MEMORY(bytes)
2,3,2000,6,loki-loki-distributed-distributor-avg,avg-loki,696,1331
2,3,2000,6,loki-loki-distributed-ingester-avg,avg-loki,495,185
2,3,2000,6,loki-loki-distributed-querier-avg,avg-loki,2,41
2,3,2000,6,loki-loki-distributed-query-frontend-avg,avg-loki,0,31
2,3,2000,6,minio-avg,avg-loki,1,102
2,3,2000,6,grafana-avg,avg-loki,166,377
2,3,2000,6,write-stress-avg,avg-loki,265,673
3,3,2000,6,loki-loki-distributed-distributor-avg,avg-loki,573,514
3,3,2000,6,loki-loki-distributed-ingester-avg,avg-loki,361,226
3,3,2000,6,loki-loki-distributed-querier-avg,avg-loki,2,43
3,3,2000,6,loki-loki-distributed-query-frontend-avg,avg-loki,0,32
3,3,2000,6,minio-avg,avg-loki,3,179
3,3,2000,6,grafana-avg,avg-loki,275,188
3,3,2000,6,write-stress-avg,avg-loki,450,416
4,3,2000,6,loki-loki-distributed-distributor-avg,avg-loki,375,404
4,3,2000,6,loki-loki-distributed-ingester-avg,avg-loki,282,231
4,3,2000,6,loki-loki-distributed-querier-avg,avg-loki,2,44
4,3,2000,6,loki-loki-distributed-query-frontend-avg,avg-loki,0,32
4,3,2000,6,minio-avg,avg-loki,4,294
4,3,2000,6,grafana-avg,avg-loki,363,245
4,3,2000,6,write-stress-avg,avg-loki,442,434
5,3,2000,6,loki-loki-distributed-distributor-avg,avg-loki,269,309
5,3,2000,6,loki-loki-distributed-ingester-avg,avg-loki,229,216
5,3,2000,6,loki-loki-distributed-querier-avg,avg-loki,3,43
5,3,2000,6,loki-loki-distributed-query-frontend-avg,avg-loki,0,32
5,3,2000,6,minio-avg,avg-loki,2,424
5,3,2000,6,grafana-avg,avg-loki,287,177
5,3,2000,6,write-stress-avg,avg-loki,486,434
6,3,2000,6,loki-loki-distributed-distributor-avg,avg-loki,248,259
6,3,2000,6,loki-loki-distributed-ingester-avg,avg-loki,184,205
6,3,2000,6,loki-loki-distributed-querier-avg,avg-loki,3,44
6,3,2000,6,loki-loki-distributed-query-frontend-avg,avg-loki,0,32
6,3,2000,6,minio-avg,avg-loki,5,575
6,3,2000,6,grafana-avg,avg-loki,107,195
6,3,2000,6,write-stress-avg,avg-loki,402,394
7,3,2000,6,loki-loki-distributed-distributor-avg,avg-loki,251,211
7,3,2000,6,loki-loki-distributed-ingester-avg,avg-loki,188,219
7,3,2000,6,loki-loki-distributed-querier-avg,avg-loki,3,44
7,3,2000,6,loki-loki-distributed-query-frontend-avg,avg-loki,0,32
7,3,2000,6,minio-avg,avg-loki,6,747
7,3,2000,6,grafana-avg,avg-loki,160,207
7,3,2000,6,write-stress-avg,avg-loki,341,413
8,3,2000,6,loki-loki-distributed-distributor-avg,avg-loki,231,211
8,3,2000,6,loki-loki-distributed-ingester-avg,avg-loki,160,227
8,3,2000,6,loki-loki-distributed-querier-avg,avg-loki,3,44
8,3,2000,6,loki-loki-distributed-query-frontend-avg,avg-loki,0,33
8,3,2000,6,minio-avg,avg-loki,8,939
8,3,2000,6,grafana-avg,avg-loki,307,222
8,3,2000,6,write-stress-avg,avg-loki,469,411
